  1571152 DSCT               9.268  7192  149  1.88
  2568519 GDORS             11.258  6299  182  0.18
  2572386 DSCT              13.278  7345  275      
  2856756 DSCT              10.250 10477  365  2.39
  2975832 DSCT              12.610  6824  249      
  3347643 DSCT               8.018  8500  441  1.67
  3356155 DSCT              12.826  7379  274  0.87
  3441784 DSCT               9.729  7201  273  2.99
  3644116 DSCT              10.852  7645  268  0.95
  3650057 DSCT              13.920  7268  276  0.90
  3663141 GDORM             13.232                 
  3865991 DSCT/ROT          11.027  6832  197  0.80
  4077558 GDORA             11.409  6924  206  0.71
  4253860 DSCT/HRTB         12.649  6780  228  1.03
  4275186 GDORS             13.107  7043  270  0.78
  4381649 DSCT              13.885  7688  269  1.17
  4733344 DSCT              10.083  7130  262  1.63
  4909697 DSCT              10.660  7962  274  1.25
  5024482 DSCT/EB           12.203  6640  219  0.28
  5025217 DSCT/ROT          11.800  6299  168  0.30
  5088308 DSCT               8.688  6711  150  0.76
  5185032 DSCT              11.838  7082  253  0.81
  5212962 DSCT              10.045  9170  332  1.58
  5302167 DSCT              12.526  8292  297  1.29
  5304634 DSCT              12.924  6649  363  0.64
  5446068 DSCT               9.683  5985  128  0.66
  5460900 DSCT              12.911  6974  250  0.78
  5702637 DSCT              12.114  7024  219  0.55
  5706866 GDORS             12.555  6939  228  0.69
  5772411 GDORM             10.608  6899  200  0.66
  6131093 GDORS              9.253  6626  189  0.38
  6222529 DSCT              12.099  7801  279  1.49
  6273239 DSCT/ROT           9.252  7089  275  2.51
  6357702 DSCT              11.410  7460  266  1.46
  6367159 DSCT/EB           12.603  7699  271  1.58
  6694649 DSCT              10.412  7897  277  1.53
  6875337 DSCT              12.693  6718  221  0.44
  6936521 DSCT/ROT          10.242  7126  265  1.38
  7122166 DSCT/ROT          11.992  7824  269  1.11
  7282209 GDORS/ROT         11.289  6768  185  0.59
  7287162 GDORS/ROT         11.823  6606  172  0.45
  7289158 DSCT              13.221  8071  280  1.37
  7294598 DSCT              12.523  6838  219  0.59
  7767565 GDORM              9.320  7800  311  1.51
  7960410 GDORM             13.058  6710  191  0.38
  7989348 GDORS             12.133  6507  183  0.59
  8042044 DSCT              13.929  6794  239  0.61
  8053078 GDORM             13.213  6799  220  0.61
  8110941 DSCT              13.749  7400  278  1.12
  8127778 GDORM             11.961  8956  341  1.40
  8167922 GDORS             11.796  6931  211  0.66
  8264824 DSCT/EB           13.668  8373  287      
  8265068 DSCT              11.885  7543  267      
  8499639 DSCT/ROT          10.525  6721  179  0.67
  8500899 DSCT              14.274  6669  206  0.15
  8565229 DSCT              11.137  7885  272  1.28
  8630254 DSCT              12.448  7425  271  1.01
  8647629 GDORA             11.788  6068  169  0.45
  8745556 DSCT              10.775  5277  186 -0.38
  8759145 DSCT/ROT          11.837  7090  256  0.96
  8915335 DSCT               9.612  8000  273  1.28
  8940640 DSCT              12.824  7244  263      
  8956850 DSCT              12.761  6857  205  0.46
  8976344 DSCT              11.642  6556  186  0.92
  9016693 GDOR/HRTB         11.635  7164  280  0.88
  9242383 DSCT              11.931  6679  218  0.59
  9395246 DSCT              11.806  6911  258      
  9594915 DSCT              14.053  7543  264  0.43
  9655288 DSCT              12.937  7563  267      
  9655346 DSCT/ROT          12.206  7970  269  2.20
  9655407 DSCT/ROT          12.364  7079  258  0.25
  9655419 DSCT/ROT          12.659  6831  253 -0.02
  9655437 DSCT              13.150  6799  250 -0.18
  9655487 GDORS/ROT         13.149  6729  228      
  9655978 DSCT              14.588  6913  262  0.07
  9664869 DSCT              11.153  7334  273  1.00
  9699950 DSCT/ROT          13.423  8083  281      
  9716118 GDORM             15.215                 
  9716256 GDORM             12.610  6897  242  0.33
  9716350 GDORS             12.494  6753  242      
  9716352 GDORS             12.728                 
  9716563 GDORS             13.634  6982  252  0.01
  9716609 DSCT              14.377  6725  233  1.31
  9716667 DSCT              12.634  7584  267  1.60
  9776474 DSCT              12.981  7751  267      
  9776816 DSCT              13.031  6988  254  0.91
 10156173 GDORM/EB          12.291  6224  233  0.33
 10647493 DSCT              11.729  7103  276      
 11082830 DSCT              10.865  7168  252  0.98
 11288686 DSCT              11.809  7063  274      
 11619861 DSCT              12.758  7458  271  1.09
 11704336 GDORS             12.299  7084  263  0.78
 11754974 DSCT              12.678  7375  274  1.12
 11809145 GDORS             10.239  6977  207  0.96
