  2583669 DSCT              0.6063  0.0170  6999   254 0.57 1.0832  0.042
  2583748 GDORM             0.4735  0.0165  6853   251 0.61 1.2951  0.043
  2693097 GDORM             0.7860  0.0156  6941   239 0.53 0.8501  0.042
  2693450 DSCT              0.7175  0.0229  7191   276 0.54 1.3008  0.042
  2694337 DSCT              3.0056  0.0308  7500   273 0.21 0.8693  0.041
  2695030 DSCT              0.7903  0.0230  7184   271 0.53 1.3039  0.042
  2695344 GDORM             3.1188  0.0240  6790   192 0.19 1.1364  0.041
  2696217 GDORA             0.7586  0.0186  7329   278 0.53 0.9555  0.042
  2696703 GDORA             3.3424  0.0260  6790   253 0.14 1.3348  0.041
  2707479 DSCT              1.7810  0.0634  7426   271 0.21 0.9962  0.043
  2710406 GDORM             0.6188  0.0132  6782   222 0.49 1.1771  0.042
  2712821 DSCT/ROT          1.7778  0.0510  7618   265 0.20 0.9470  0.042
  2714707 DSCT              0.3912  0.0164  7189   279 0.57 1.5957  0.044
  2714807 DSCT              1.1604  0.0322  6948   213 0.38 1.3314  0.042
  2717483 DSCT              0.7034  0.0234  7197   284 0.51 1.3597  0.043
  2718630 DSCT              0.5608  0.0208  7294   275 0.56 1.1801  0.043
  2718944 DSCT/ROT          1.0473  0.0317  8492   301 0.41 1.2749  0.042
  2719928 DSCT              0.9370  0.0241  7095   262 0.50 1.0753  0.042
  2835795 GDORM             0.9375  0.0236  6695   140 0.51 1.4787  0.042
  2837174 DSCT/ROT          1.1114  0.0237  7306   272 0.49 1.2733  0.042
  2853280 DSCT              1.6761  0.0271  7464   264 0.25 1.1595  0.041
  2855603 DSCT              0.6415  0.0158  6796   233 0.51 1.1163  0.042
  2857323 DSCT              0.5597  0.0168  7869   273 0.56 1.2881  0.042
  2857324 DSCT              2.3447  0.0261  6286   167 0.19 0.3474  0.041
  2860851 DSCT/MAIA/ROT     1.1867  0.0390 10679   379 0.34 2.0420  0.043
  2972005 DSCT              1.0408  0.0270  6956   244 0.47 1.2530  0.042
  2974815 DSCT              0.2832  0.0164  7776   267 0.62 1.7230  0.046
  2985022 DSCT              1.1094  0.0232  6970   243 0.45 1.2692  0.042
  2987660 DSCT              3.9179  0.0332  7525   264 0.14 1.5847  0.041
  2988145 DSCT              0.5084  0.0195  6879   233 0.52 1.3803  0.043
  2988783 GDORS             0.5811  0.0211  7301   274 0.51 1.0643  0.043
  2994888 DSCT              0.5404  0.0187  7615   264 0.56 1.0957  0.043
  2995931 DSCT              0.5344  0.0205  6897   207 0.57 1.4078  0.043
  2996232 GDORA             0.4296  0.0219  7122   312 0.60 1.2205  0.045
  2998561 DSCT              1.4077  0.0266  7328   273 0.27 1.0785  0.042
  3002379 GDORS             0.5717  0.0167  6725   254 0.60 1.1514  0.042
  3003224 DSCT/ROT          0.6803  0.0257  8247   288 0.57 1.2999  0.043
