 2301163 14.3 7540 4.0 gDor  8175 2.1076 8925 19.7405
 2855026 14.1 7690 4.0 Equal  855 3.0374 1665 17.3012
 3456100 14.1 8040 3.8 dSct   168 1.5304 1320 17.2411
 3657237 14.3 6570 4.3 dSct   600 1.0312 4585 11.9070
 3941524 14.1 7680 4.0 Equal   45 1.0537  180 23.6279
 4668676 14.1 6900 4.4 dSct  1900 1.9743 6865 15.3581
 4999763 15.0 7760 4.0 Equal 1295 1.3190  560 19.7767
 4999789 15.0 7650 4.1 Equal  940 1.6495 2720 15.4884
 5018191 14.5 7160 4.2 dSct   225 0.5238 2055 10.4465
 5466537 10.3 7180 4.1 dSct   205 2.7857 1080 22.2605
 5553489 14.4 6680 4.3 gDor   150 1.0631   45  5.1238
 5561007 14.2 7690 4.2 gDor  2075 0.9766  645  5.6465
 5771101 15.0 7440 4.0 Equal  720 0.7126 1135  7.8512
 5809732 14.1 6810 4.1 Equal  125 1.7827   80  8.4279
 5966212 15.1 7680 4.0 Equal  305 1.9121  800 15.8326
 6130261 14.9 7830 3.9 gDor  3455 0.9930  590 21.7674
 6290877 14.1 8010 4.0 equal  395 2.1051  885 16.7163
 6460258 14.2 7060 4.1 gDor  2770 2.9810  365  5.1429
 6467349 14.6 6610 4.1 Equal  690 1.6005 1200 18.7814
 6586020 15.1 7310 4.0 Equal  425 3.2103  810 17.5814
 6936178 14.4 8160 4.0 Equal   45 1.8972  100 17.6930
 6960727 14.1 8160 4.2 dSct   125 2.1168  600 18.8000
 6974847 14.5 7840 3.8 dSct   500 1.4159 1825 17.9256
 7300263 14.5 6200 4.0 Equal   75 2.0958  140 17.8419
 7302192 14.5 6570 4.3 Equal  275 1.5818  725 15.8233
 7354531 14.5 7620 3.7 Equal 1440 1.2406 1890 13.0419
 7750216 14.0 8110 4.1 dSct   340 0.6519  750 22.2140
 8314246 14.0 7220 3.9 Equal 2350 1.8037 2600 14.1302
 9005210 14.0 7740 3.9 Equal  625 1.4650 1200 14.5953
 9402020 15.1 7620 4.0 gDor   290 2.1449  170 19.4977
 9529640 14.5 7830 4.0 Equal  355 2.3575  700 21.6000
10134571 14.6 7900 4.1 Equal   80 2.4418  190 21.6279
