kic,source_id,sdss_g,parallax,parallax_error,Ag_Green_2017,Ag_Green_2017_sigma,Teffi,e_Teffi,FeHi,e_FeHi,new_logg,new_logg_std,new_radius,new_r_std,new_mass,new_mass_std,mass_qflag,loglbol_g_median,loglbol_sigp,loglbol_sigm,dSct
6280416,2101805987914236160,13.525,1.052,0.024,0.21,0.04,6657,190,-0.1,0.3,4.21,0.11,1.44,0.09,1.22,0.25,0,0.562,0.024,0.024,0
6280651,2101805300719489920,13.807,1.066,0.014,0.21,0.03,6784,213,-0.23,0.3,4.37,0.11,1.19,0.08,1.22,0.25,2,0.435,0.02,0.02,0
6280902,2101803685811821184,11.414,1.651,0.028,0.14,0.03,7306,255,-0.12,0.3,4.06,0.1,1.88,0.15,1.51,0.25,0,0.958,0.021,0.021,1
6280952,2101803823250790912,11.832,0.683,0.025,0.2,0.03,7974,279,0.04,0.3,3.75,0.09,3.16,0.25,2.05,0.25,0,1.559,0.038,0.037,1
6283582,2101709196532295552,13.365,1.013,0.013,0.24,0.03,6861,202,-0.14,0.3,4.2,0.11,1.5,0.1,1.3,0.25,0,0.652,0.022,0.021,0
6283792,2101708543697292032,14.644,0.544,0.018,0.19,0.02,6520,198,-0.31,0.3,4.04,0.11,1.8,0.13,1.3,0.25,0,0.721,0.034,0.033,0
6283912,2101710192964769536,10.433,3.788,0.026,0.09,0.03,6833,80,-0.1,0.15,4.19,0.09,1.5,0.05,1.29,0.25,0,0.647,0.02,0.02,0
6284047,2101706894429319680,14.318,0.743,0.017,0.14,0.02,6737,210,-1.03,0.3,4.23,0.11,1.41,0.1,1.24,0.25,1,0.57,0.027,0.026,0
6284115,2101707478545469312,13.135,0.422,0.021,0.26,0.03,9174,321,-0.08,0.3,4.06,0.1,2.22,0.2,2.06,0.25,0,1.499,0.049,0.047,0
6284209,2101707238027314176,13.657,0.742,0.015,0.23,0.02,7333,256,0.01,0.3,4.2,0.1,1.56,0.11,1.42,0.25,0,0.799,0.025,0.025,0
6284363,2101706550831999616,12.813,0.602,0.022,0.21,0.03,8748,306,0.01,0.3,4.14,0.09,1.91,0.16,1.84,0.25,0,1.283,0.038,0.037,1
