kic,source_id,sdss_g,parallax,parallax_error,Ag_Green_2017,Ag_Green_2017_sigma,Teffi,e_Teffi,FeHi,e_FeHi,new_logg,new_logg_std,new_radius,new_r_std,new_mass,new_mass_std,mass_qflag,loglbol_g_median,loglbol_sigp,loglbol_sigm,dSct
892667,2050232329866306176,13.405,0.821,0.015,0.43,0.03,6604,209,-0.26,0.3,3.89,0.1,2.26,0.16,1.46,0.25,0,0.941,0.025,0.025,0
892828,2050232089348573440,13.441,0.936,0.014,0.29,0.02,6685,213,-0.26,0.3,4.07,0.1,1.77,0.12,1.34,0.25,0,0.75,0.023,0.023,0
893234,2050237621266121856,13.425,1.008,0.015,0.25,0.03,6694,219,-0.37,0.3,4.14,0.1,1.6,0.11,1.28,0.25,0,0.665,0.021,0.022,0
1026133,2050236689246332928,13.314,0.826,0.018,0.32,0.04,6990,228,-0.26,0.3,4.02,0.1,1.94,0.15,1.46,0.25,0,0.907,0.029,0.029,0
1026255,2050237208949229952,12.629,0.874,0.022,0.4,0.03,7050,214,-0.23,0.3,3.85,0.09,2.5,0.18,1.64,0.25,0,1.143,0.031,0.03,1
1026294,2050243183236881152,11.96,1.056,0.024,0.17,0.04,7887,80,-0.07,0.15,4.1,0.08,1.9,0.07,1.64,0.25,0,1.101,0.024,0.024,1
1026356,2050237037150551296,15.079,0.993,0.02,0.18,0.04,6514,228,-0.28,0.3,,,0.78,0.06,0.0,0.25,6,-0.008,0.024,0.024,0
1026475,2050242878306107904,12.076,2.118,0.022,0.11,0.04,6611,189,-0.33,0.3,4.23,0.11,1.39,0.09,1.2,0.25,1,0.52,0.024,0.024,0
1026861,2050238892576496512,11.044,2.1,0.026,0.17,0.03,7057,80,-0.03,0.15,4.03,0.08,1.95,0.06,1.48,0.25,0,0.929,0.021,0.021,0
1027338,2050239820289522432,14.241,1.305,0.018,0.18,0.03,6552,216,-0.43,0.3,4.56,0.13,0.88,0.06,1.04,0.25,5,0.105,0.022,0.022,0
1028120,2051694233651328384,13.358,0.902,0.019,0.21,0.03,6636,80,-0.06,0.15,4.03,0.09,1.86,0.07,1.35,0.25,0,0.783,0.027,0.027,0
1161402,2050249127471618560,12.583,2.034,0.024,0.25,0.09,6575,194,-0.32,0.3,4.31,0.12,1.23,0.09,1.16,0.25,2,0.409,0.039,0.04,0
1162150,2050245352207422208,11.338,0.927,0.025,0.29,0.03,7087,248,-0.01,0.3,3.52,0.09,3.96,0.31,1.9,0.25,0,1.552,0.032,0.031,1
1162339,2050244351476305408,14.037,0.905,0.017,0.33,0.03,6652,219,-0.27,0.3,4.2,0.12,1.44,0.1,1.22,0.25,1,0.563,0.027,0.026,0
1162345,2050244355775019904,11.911,0.748,0.023,0.35,0.03,6507,189,-0.24,0.3,3.36,0.08,4.84,0.34,1.94,0.25,0,1.579,0.034,0.033,0
1163943,2051696565812457984,11.429,1.237,0.032,0.19,0.03,7202,222,-0.23,0.3,3.82,0.09,2.64,0.17,1.72,0.25,0,1.229,0.02,0.02,1
1164109,2051696157796813312,11.018,3.374,0.026,0.14,0.04,6605,180,-0.25,0.3,4.21,0.11,1.44,0.09,1.21,0.25,0,0.55,0.023,0.023,0
1164407,2051698936634405632,12.26,1.223,0.029,0.18,0.03,6969,206,-0.24,0.3,4.02,0.1,1.96,0.12,1.46,0.25,0,0.914,0.021,0.021,0
1164418,2051692996700910080,13.609,0.867,0.018,0.2,0.03,6718,80,0.13,0.15,4.11,0.09,1.66,0.07,1.3,0.25,0,0.704,0.027,0.027,0
1292798,2050254556310276992,10.332,2.096,0.038,0.83,0.06,8175,80,-0.22,0.15,3.89,0.07,2.59,0.11,1.93,0.25,0,1.433,0.032,0.032,0
1293743,2050258065310680704,13.366,0.716,0.02,0.28,0.02,6851,219,-0.2,0.3,3.91,0.1,2.24,0.17,1.52,0.25,0,0.998,0.031,0.03,0
1293814,2050258099670430208,10.777,1.729,0.033,0.18,0.03,7903,276,-0.16,0.3,4.05,0.09,2.04,0.15,1.7,0.25,0,1.164,0.022,0.022,0
1293928,2050257889204898176,11.761,1.195,0.026,0.25,0.03,7100,80,0.12,0.15,3.88,0.08,2.45,0.08,1.64,0.25,0,1.139,0.02,0.02,0
1294382,2051747212065840768,12.556,1.274,0.025,0.2,0.03,6756,80,0.0,0.15,4.06,0.09,1.78,0.06,1.36,0.25,0,0.776,0.022,0.022,0
1294670,2051746529174727168,12.33,0.584,0.025,0.28,0.02,7299,255,-0.04,0.3,3.56,0.1,3.77,0.34,1.91,0.25,0,1.56,0.043,0.041,1
1294756,2051746563534482304,8.899,2.831,0.035,0.12,0.03,8634,302,-0.12,0.3,3.97,0.09,2.4,0.18,1.98,0.25,0,1.461,0.023,0.022,0
1295737,2051696982430529664,12.252,1.057,0.026,0.21,0.02,6557,191,-0.21,0.3,3.75,0.09,2.66,0.16,1.45,0.25,0,1.073,0.019,0.02,0
1295776,2051750308746154496,13.99,0.869,0.016,0.28,0.02,6715,80,-0.04,0.15,4.2,0.1,1.45,0.05,1.25,0.25,0,0.588,0.024,0.024,0
1296063,2051696089077358976,13.594,0.839,0.021,0.27,0.02,6591,80,-0.24,0.15,4.02,0.09,1.89,0.07,1.35,0.25,0,0.785,0.029,0.028,0
1296164,2051701998952376832,13.586,0.389,0.017,0.3,0.02,6974,232,-0.2,0.3,3.58,0.09,3.61,0.29,1.79,0.25,0,1.445,0.042,0.041,0
1296334,2051702067671882368,15.302,0.764,0.025,0.24,0.03,6694,234,-0.2,0.3,4.56,0.13,0.9,0.07,1.06,0.25,5,0.162,0.035,0.034,0
1429120,2051022397686571136,14.157,0.536,0.018,0.34,0.02,7128,242,0.27,0.3,4.04,0.1,1.93,0.16,1.48,0.25,0,0.936,0.035,0.034,0
1429653,2051010062540559872,15.543,0.334,0.031,0.53,0.03,7097,80,0.36,0.15,4.07,0.12,1.8,0.18,1.42,0.25,0,0.87,0.089,0.081,0
1430163,2051012738300892416,9.694,5.595,0.032,0.13,0.07,6590,80,-0.05,0.15,4.13,0.1,1.59,0.07,1.25,0.25,0,0.635,0.032,0.032,0
1430239,2051012669581416320,10.767,1.957,0.029,0.24,0.05,6512,193,0.14,0.3,3.68,0.1,2.96,0.2,1.52,0.25,0,1.153,0.028,0.028,0
1430305,2051012295923656704,13.581,0.958,0.018,0.41,0.04,6563,223,-0.09,0.3,4.05,0.11,1.78,0.13,1.31,0.25,0,0.725,0.027,0.027,0
1430590,2050261398205363840,12.974,0.883,0.028,0.71,0.02,6819,247,-0.02,0.3,3.8,0.1,2.64,0.22,1.62,0.25,0,1.134,0.033,0.033,1
1430741,2050263116192293120,14.184,0.498,0.017,0.53,0.05,6945,261,-0.12,0.3,3.88,0.1,2.39,0.2,1.58,0.25,0,1.079,0.04,0.04,2
1430880,2050262016680535808,11.996,2.046,0.029,0.31,0.06,6638,80,-0.12,0.15,4.13,0.1,1.61,0.07,1.26,0.25,0,0.655,0.031,0.032,0
1431091,2050262394637724032,13.234,1.667,0.024,0.41,0.04,6754,215,-0.21,0.3,4.41,0.12,1.11,0.08,1.18,0.25,5,0.367,0.023,0.023,0
1431379,2051760444868676224,12.764,1.065,0.024,0.34,0.04,6668,80,-0.17,0.15,3.94,0.08,2.14,0.08,1.44,0.25,0,0.911,0.025,0.025,0
1431474,2051760273070008960,13.777,1.186,0.016,0.25,0.03,6734,230,-0.16,0.3,4.4,0.12,1.13,0.08,1.18,0.25,5,0.376,0.02,0.021,0
1431794,2051747456887602304,12.455,0.871,0.023,0.24,0.03,7334,256,-0.2,0.3,3.92,0.1,2.32,0.17,1.65,0.25,0,1.146,0.03,0.03,1
1432149,2051761303862300672,11.254,1.647,0.034,0.24,0.03,7492,262,-0.14,0.3,4.04,0.09,2.0,0.15,1.59,0.25,0,1.056,0.022,0.022,2
1432685,2051745257864502400,13.719,0.817,0.015,0.22,0.02,6623,80,0.0,0.15,4.07,0.09,1.76,0.06,1.31,0.25,0,0.728,0.024,0.024,0
1433399,2051750510600723200,13.066,0.502,0.023,0.31,0.03,6872,80,-0.11,0.15,3.55,0.08,3.7,0.21,1.78,0.25,0,1.44,0.046,0.044,0
1433534,2051750824142281728,15.12,0.475,0.023,0.31,0.03,7082,270,-0.22,0.3,4.26,0.13,1.42,0.14,1.34,0.25,1,0.659,0.048,0.046,0
1433714,2051752473409763072,13.675,1.677,0.017,0.3,0.1,6512,210,-0.22,0.3,4.5,0.14,0.95,0.08,1.06,0.25,5,0.163,0.044,0.044,0
1433725,2051703957457524608,12.963,0.482,0.031,0.46,0.01,8649,80,-0.16,0.15,3.93,0.08,2.56,0.18,2.03,0.25,0,1.52,0.06,0.056,0
1433972,2051702892305651200,13.031,1.314,0.027,0.35,0.03,6721,80,-0.23,0.15,4.18,0.1,1.53,0.05,1.26,0.25,0,0.631,0.022,0.023,0
1434372,2051704679012108800,12.451,0.712,0.026,0.43,0.04,7499,262,-0.12,0.3,3.78,0.09,2.93,0.25,1.86,0.25,0,1.389,0.039,0.038,0
1434397,2051701724074607872,12.944,1.321,0.028,0.35,0.04,6567,80,-0.06,0.15,4.1,0.1,1.67,0.06,1.27,0.25,0,0.668,0.023,0.024,0
1434660,2051725054337318016,11.379,1.02,0.03,0.34,0.03,7513,80,0.05,0.15,3.74,0.06,3.1,0.1,1.92,0.25,0,1.441,0.02,0.021,1
1434696,2051724985617846144,13.015,1.327,0.029,0.31,0.04,6953,232,-0.26,0.3,4.27,0.11,1.38,0.1,1.29,0.25,2,0.601,0.024,0.024,0
1434800,2051724264063353472,14.118,0.481,0.044,0.39,0.03,6821,233,-0.23,0.3,3.81,0.13,2.57,0.31,1.56,0.25,0,1.111,0.088,0.081,0
1435108,2051724504581579264,13.265,1.121,0.021,0.27,0.03,7083,224,-0.3,0.3,4.29,0.11,1.36,0.09,1.32,0.25,2,0.621,0.021,0.022,0
1435836,2051713818703101952,13.6,0.741,0.014,0.3,0.04,6516,80,-0.07,0.15,3.9,0.09,2.22,0.09,1.43,0.25,0,0.904,0.028,0.028,0
1569986,2051024046954062976,15.638,0.291,0.029,0.4,0.03,6637,232,0.13,0.3,3.89,0.14,2.24,0.29,1.44,0.25,0,0.945,0.093,0.085,0
1569999,2051022810003466752,12.148,2.892,0.025,0.11,0.02,6574,192,-0.11,0.3,4.48,0.12,0.99,0.06,1.1,0.25,5,0.217,0.02,0.02,0
1570023,2051023291039824000,13.581,0.437,0.017,0.39,0.04,6970,220,0.28,0.3,3.63,0.1,3.32,0.27,1.72,0.25,0,1.369,0.041,0.04,1
1570713,2051016277353941376,11.668,1.638,0.024,0.31,0.07,6736,198,-0.09,0.3,3.92,0.1,2.22,0.16,1.48,0.25,0,0.961,0.034,0.034,0
1571717,2050263146251090048,11.145,1.6,0.038,0.36,0.09,8334,291,-0.14,0.3,4.16,0.1,1.8,0.15,1.72,0.25,0,1.147,0.04,0.04,1
1572201,2051763846483264384,8.402,1.364,0.038,0.41,0.03,8567,299,-0.17,0.3,,,7.16,0.54,0.0,0.25,6,2.395,0.021,0.021,0
1572418,2051763709044322304,13.867,0.909,0.015,0.48,0.03,6669,219,-0.21,0.3,4.12,0.11,1.64,0.12,1.29,0.25,0,0.681,0.025,0.025,0
1572851,2051762369014160512,13.937,0.736,0.015,0.53,0.03,6508,223,-0.16,0.3,3.93,0.1,2.13,0.16,1.4,0.25,0,0.865,0.027,0.027,0
1572948,2051761613099930624,14.901,0.431,0.019,0.37,0.03,6589,230,-0.17,0.3,3.94,0.11,2.11,0.18,1.42,0.25,0,0.879,0.044,0.043,0
1573149,2051761716179199744,13.264,0.91,0.023,0.55,0.04,6627,217,0.12,0.3,3.9,0.1,2.24,0.17,1.46,0.25,0,0.94,0.03,0.03,1
1573174,2051762094136328960,13.702,0.372,0.016,0.6,0.03,7163,251,-0.15,0.3,3.55,0.09,3.83,0.33,1.89,0.25,0,1.542,0.042,0.04,1
1574792,2051753744720126720,12.943,1.079,0.027,0.59,0.04,6819,80,0.02,0.15,3.97,0.08,2.05,0.07,1.45,0.25,0,0.914,0.024,0.024,0
1575873,2051725496712156288,11.427,2.207,0.026,0.23,0.04,6741,190,-0.22,0.3,4.06,0.1,1.8,0.11,1.36,0.25,0,0.779,0.024,0.024,0
1575919,2051728829604437760,14.099,0.434,0.018,0.39,0.03,6873,236,-0.19,0.3,3.78,0.1,2.75,0.24,1.66,0.25,0,1.182,0.043,0.042,0
1575977,2051725810251629312,13.746,0.637,0.018,0.33,0.02,7272,272,-0.21,0.3,4.07,0.11,1.87,0.15,1.5,0.25,0,0.945,0.031,0.031,1
1576115,2051725947690611072,11.729,0.743,0.026,0.32,0.02,8289,290,-0.17,0.3,3.81,0.09,2.98,0.25,2.08,0.25,0,1.578,0.036,0.036,1
1576558,2051726596221443328,12.626,1.061,0.026,0.26,0.02,6761,80,-0.03,0.15,3.95,0.08,2.13,0.07,1.46,0.25,0,0.93,0.019,0.019,0
1577039,2051732716559280000,8.408,4.338,0.223,0.13,0.06,6967,243,0.21,0.3,3.65,0.1,3.21,0.28,1.69,0.25,0,1.34,0.04,0.041,1
1577077,2051714574617353984,14.108,0.532,0.016,0.29,0.02,6780,222,-0.39,0.3,3.92,0.1,2.23,0.17,1.5,0.25,0,0.977,0.032,0.032,0
1577819,2051721755802891264,13.049,1.277,0.024,0.36,0.04,6630,190,-0.08,0.3,4.12,0.11,1.61,0.11,1.27,0.25,0,0.657,0.023,0.024,0
1577912,2051721687077542144,10.96,1.655,0.049,0.31,0.05,8231,80,-0.24,0.15,4.12,0.07,1.89,0.07,1.72,0.25,0,1.171,0.028,0.028,1
1718222,2051029510152556032,9.021,4.142,0.038,0.11,0.05,7985,80,0.31,0.15,4.14,0.08,1.78,0.07,1.63,0.25,0,1.067,0.027,0.027,0
1718354,2051030781462923520,14.031,0.658,0.018,0.48,0.04,6759,80,-0.22,0.15,3.97,0.09,2.04,0.09,1.43,0.25,0,0.893,0.032,0.032,0
1718594,2051031193779818240,10.321,2.76,0.034,0.2,0.07,7821,273,0.1,0.3,4.2,0.1,1.62,0.13,1.54,0.25,0,0.949,0.032,0.033,1
1718753,2051019580188287232,12.802,1.972,0.024,0.37,0.04,6546,180,-0.45,0.3,4.31,0.12,1.23,0.07,1.14,0.25,2,0.396,0.025,0.025,0
1721795,2051758177126368640,14.0,1.016,0.015,0.33,0.03,6534,202,-0.18,0.3,4.25,0.12,1.34,0.09,1.16,0.25,1,0.467,0.02,0.021,0
1722916,2051776834464771584,12.131,1.732,0.028,0.3,0.08,6809,80,-0.19,0.15,4.11,0.1,1.67,0.08,1.32,0.25,0,0.732,0.039,0.039,0
1723516,2051730964212499072,15.36,0.488,0.03,0.46,0.02,6619,221,0.07,0.3,4.15,0.12,1.57,0.15,1.25,0.25,0,0.628,0.058,0.056,0
1724041,2051728176769405440,11.639,2.558,0.029,0.23,0.09,6709,187,-0.23,0.3,4.21,0.11,1.43,0.11,1.24,0.25,0,0.574,0.039,0.039,0
1724222,2051734297107284480,11.891,1.398,0.025,0.32,0.05,6947,80,-0.08,0.15,3.93,0.08,2.19,0.08,1.52,0.25,0,1.003,0.026,0.026,0
1724316,2051733055852253952,13.489,0.543,0.023,0.56,0.01,8630,80,-0.15,0.15,4.15,0.08,1.86,0.09,1.8,0.25,0,1.24,0.041,0.04,0
1724961,2051721274766497920,10.462,2.073,0.032,0.24,0.07,7301,234,-0.15,0.3,3.88,0.1,2.45,0.19,1.68,0.25,0,1.187,0.035,0.036,1
1849555,2099068375760076928,11.395,1.597,0.029,0.18,0.05,7149,222,-0.19,0.3,3.99,0.09,2.07,0.14,1.54,0.25,0,1.005,0.025,0.026,0
1850100,2099026216361184000,15.952,0.407,0.037,0.33,0.03,6509,227,0.14,0.3,4.22,0.14,1.4,0.17,1.18,0.25,1,0.5,0.086,0.078,0
1864178,2051076823513706880,13.305,1.003,0.016,0.41,0.04,6550,190,-0.73,0.3,3.99,0.1,1.93,0.12,1.35,0.25,0,0.79,0.021,0.022,0
1864603,2051028582439837312,13.293,0.293,0.025,0.45,0.05,9034,316,-0.1,0.3,3.75,0.11,3.36,0.38,2.37,0.25,0,1.83,0.081,0.075,0
1865567,2051032533809663104,10.309,1.042,0.041,0.42,0.03,9909,346,0.06,0.3,3.85,0.08,3.14,0.24,2.56,0.25,0,1.932,0.021,0.021,0
1869499,2051782847419014400,13.646,1.061,0.018,0.49,0.06,6596,213,-0.24,0.3,4.13,0.11,1.57,0.11,1.25,0.25,0,0.625,0.028,0.028,0
1870057,2051779995560750336,11.163,0.931,0.028,0.46,0.04,9645,80,-0.39,0.15,3.98,0.06,2.57,0.11,2.29,0.25,0,1.712,0.035,0.035,0
1870849,2051732304242387456,11.812,1.166,0.028,0.23,0.03,6829,239,0.07,0.3,3.79,0.1,2.69,0.21,1.64,0.25,0,1.152,0.02,0.021,1
1872078,2051735053021698176,12.628,1.361,0.022,0.28,0.04,6633,193,0.11,0.3,4.06,0.1,1.74,0.11,1.31,0.25,0,0.724,0.024,0.024,0
1872154,2051735843295739008,15.847,0.358,0.03,0.42,0.03,6583,230,0.01,0.3,4.07,0.13,1.72,0.2,1.28,0.25,0,0.698,0.08,0.074,0
1872262,2051723714308068224,13.897,0.642,0.014,0.34,0.04,7134,244,0.05,0.3,4.08,0.11,1.81,0.15,1.45,0.25,0,0.883,0.029,0.029,0
1872324,2051723645588602752,9.652,2.116,0.035,0.22,0.03,9542,333,0.02,0.3,4.14,0.09,2.03,0.16,2.08,0.25,0,1.49,0.023,0.023,0
1872948,2051813461935186816,10.441,2.36,0.029,0.22,0.06,7713,269,-0.02,0.3,4.1,0.09,1.85,0.14,1.6,0.25,0,1.039,0.031,0.031,0
1873030,2051816829197935104,13.788,0.518,0.015,0.42,0.02,7145,248,-0.02,0.3,3.88,0.1,2.43,0.18,1.64,0.25,0,1.143,0.032,0.031,0
1873157,2051818547184935808,13.964,0.812,0.014,0.41,0.03,6603,217,-0.58,0.3,4.06,0.11,1.77,0.13,1.32,0.25,0,0.728,0.025,0.025,0
1873552,2051814454072444672,11.646,1.352,0.025,0.28,0.04,7922,80,-0.02,0.15,4.15,0.08,1.79,0.06,1.62,0.25,0,1.056,0.023,0.024,0
1873583,2051814458376093824,11.309,0.487,0.036,0.35,0.04,8850,309,-0.11,0.3,3.46,0.11,4.98,0.54,2.64,0.25,0,2.136,0.071,0.067,0
1874268,2051632764082866048,13.951,0.892,0.016,0.3,0.04,6635,80,0.14,0.15,4.18,0.1,1.49,0.06,1.23,0.25,0,0.587,0.027,0.027,0
1995431,2099072254109660288,11.854,1.378,0.032,0.26,0.05,7570,264,0.2,0.3,4.13,0.1,1.77,0.14,1.54,0.25,0,0.967,0.025,0.025,0
1995710,2099071669994108800,12.964,0.52,0.03,0.3,0.03,7775,272,-0.5,0.3,3.83,0.1,2.76,0.26,1.88,0.25,0,1.401,0.054,0.052,0
1996456,2099073942037826560,11.545,1.568,0.039,0.24,0.03,7080,201,0.09,0.3,3.99,0.09,2.09,0.13,1.52,0.25,0,0.993,0.021,0.021,0
2010345,2051080190768077824,14.151,0.815,0.018,0.34,0.04,6522,228,-0.12,0.3,4.12,0.11,1.58,0.12,1.24,0.25,0,0.612,0.029,0.029,0
2010414,2051086444240523520,13.095,0.588,0.023,0.28,0.03,6870,80,-0.38,0.15,3.7,0.08,3.09,0.16,1.74,0.25,0,1.282,0.04,0.039,0
2010471,2051086478600286848,14.069,0.744,0.018,0.26,0.04,6556,80,-0.12,0.15,4.08,0.09,1.72,0.07,1.28,0.25,0,0.694,0.031,0.03,0
2011424,2051036725697872256,11.119,1.041,0.028,0.32,0.03,7109,80,0.14,0.15,3.53,0.07,3.87,0.13,1.88,0.25,0,1.536,0.021,0.021,1
2012214,2052535050807891584,13.061,1.34,0.029,0.26,0.04,6584,80,-0.04,0.15,4.18,0.11,1.48,0.05,1.22,0.25,0,0.571,0.023,0.023,0
2012722,2052522097186267520,11.76,1.818,0.026,0.4,0.06,7046,200,0.1,0.3,4.09,0.1,1.78,0.12,1.42,0.25,0,0.846,0.028,0.029,0
2013368,2052529003493795840,13.842,0.804,0.016,0.59,0.04,6525,201,-0.46,0.3,3.93,0.11,2.11,0.15,1.4,0.25,0,0.862,0.029,0.029,0
2015501,2051795216925043584,11.289,1.457,0.028,0.59,0.14,7549,80,0.54,0.15,3.88,0.09,2.49,0.17,1.74,0.25,0,1.26,0.058,0.058,0
2018044,2051737045886585600,13.755,0.561,0.016,0.46,0.02,6559,202,0.02,0.3,3.7,0.09,2.89,0.2,1.51,0.25,0,1.143,0.03,0.03,0
2018261,2051829778515755776,11.949,1.053,0.026,0.32,0.04,7505,262,0.01,0.3,3.94,0.09,2.29,0.17,1.68,0.25,0,1.176,0.022,0.023,1
2018280,2051831054129584896,14.194,1.038,0.015,0.42,0.04,6636,232,-0.06,0.3,4.37,0.11,1.18,0.09,1.17,0.25,2,0.387,0.024,0.024,0
2018685,2051830435654365824,14.276,0.564,0.016,0.44,0.03,6690,204,-0.17,0.3,3.93,0.1,2.16,0.15,1.45,0.25,0,0.924,0.032,0.032,0
2018931,2051819921574465664,13.29,1.211,0.014,0.36,0.04,6614,80,-0.13,0.15,4.16,0.1,1.53,0.06,1.24,0.25,0,0.607,0.024,0.024,0
2019230,2051819715416077056,13.783,0.989,0.013,0.39,0.04,6575,218,-0.47,0.3,4.15,0.11,1.54,0.11,1.23,0.25,0,0.601,0.023,0.023,0
2019575,2051825346109992704,13.971,0.665,0.014,0.48,0.04,6634,213,-0.22,0.3,3.92,0.1,2.17,0.16,1.44,0.25,0,0.915,0.029,0.029,0
2019761,2051822017518632448,12.622,1.683,0.021,0.27,0.06,6536,80,-0.03,0.15,4.17,0.1,1.49,0.06,1.2,0.25,0,0.563,0.029,0.03,0
2019893,2051822635993987072,12.369,1.723,0.023,0.32,0.03,6714,235,-0.6,0.3,4.14,0.11,1.59,0.12,1.28,0.25,0,0.666,0.021,0.022,0
2163896,2051834249585222400,13.675,0.941,0.014,0.42,0.04,6890,241,-0.18,0.3,4.17,0.11,1.55,0.11,1.32,0.25,0,0.686,0.026,0.026,0
2020444,2051823151390152704,13.223,0.87,0.021,0.44,0.04,6891,80,-0.12,0.15,3.97,0.08,2.09,0.09,1.48,0.25,0,0.949,0.031,0.031,0
2020966,2051634619508790272,12.489,0.939,0.027,0.46,0.03,6560,131,-0.06,0.15,3.65,0.09,3.06,0.17,1.55,0.25,0,1.193,0.032,0.032,0
2021060,2051635547221743488,9.941,3.904,0.052,0.11,0.06,6654,232,0.16,0.3,3.99,0.11,1.96,0.15,1.38,0.25,0,0.83,0.03,0.029,0
2140642,2099088678064170496,12.823,1.433,0.033,0.21,0.02,6610,231,-0.22,0.3,4.18,0.11,1.5,0.11,1.23,0.25,0,0.588,0.019,0.019,0
2141387,2099079302156992768,12.298,1.296,0.038,0.2,0.03,7210,252,0.07,0.3,4.15,0.1,1.67,0.12,1.42,0.25,0,0.83,0.021,0.021,0
2141938,2099075763103997312,13.476,0.726,0.019,0.33,0.03,6707,234,0.16,0.3,3.9,0.1,2.24,0.18,1.48,0.25,0,0.96,0.03,0.03,0
2155080,2051097336277507456,13.47,0.825,0.019,0.36,0.03,6815,243,-0.05,0.3,4.02,0.11,1.91,0.16,1.41,0.25,0,0.852,0.028,0.028,0
2155343,2051093694145281024,13.548,0.998,0.016,0.28,0.03,6885,240,-0.13,0.3,4.24,0.11,1.42,0.11,1.27,0.25,1,0.608,0.02,0.02,0
2156343,2051088437105568000,14.045,0.695,0.019,0.31,0.04,6799,80,-0.17,0.15,4.09,0.09,1.75,0.07,1.35,0.25,0,0.768,0.033,0.032,0
2156404,2051088402745841408,14.623,0.493,0.022,0.33,0.03,6540,196,-0.08,0.3,3.93,0.11,2.12,0.17,1.4,0.25,0,0.868,0.044,0.043,0
2156425,2051088402745845760,14.99,0.35,0.023,0.34,0.04,6544,80,0.09,0.15,3.82,0.1,2.5,0.18,1.5,0.25,0,1.015,0.064,0.06,0
2156514,2051085379088866176,13.333,0.579,0.028,0.3,0.04,6566,229,-0.2,0.3,3.63,0.11,3.17,0.28,1.58,0.25,0,1.226,0.048,0.046,0
2156581,2051085482168119936,13.275,0.518,0.027,0.34,0.02,9302,325,-0.01,0.3,4.23,0.1,1.74,0.16,1.92,0.25,0,1.309,0.05,0.048,0
2157135,2051037447252404480,14.072,0.854,0.018,0.31,0.03,6580,209,-0.34,0.3,4.16,0.12,1.53,0.11,1.23,0.25,0,0.598,0.028,0.028,0
2157489,2052537937025896960,12.167,1.198,0.032,0.3,0.03,7724,270,0.09,0.3,4.18,0.1,1.68,0.13,1.54,0.25,0,0.957,0.022,0.022,0
2157841,2052539792451813120,12.18,0.462,0.026,0.35,0.02,8111,283,0.02,0.3,3.56,0.09,4.11,0.38,2.22,0.25,0,1.818,0.054,0.052,0
2157979,2052536493916929024,13.188,0.671,0.029,0.43,0.03,6558,229,-0.22,0.3,3.65,0.1,3.08,0.26,1.56,0.25,0,1.199,0.043,0.041,0
2158190,2052535806721917696,11.137,0.995,0.028,0.39,0.03,8283,289,-0.02,0.3,3.83,0.08,2.9,0.21,2.06,0.25,0,1.552,0.02,0.02,0
2158208,2052536596995913216,9.443,3.161,0.03,0.27,0.07,9946,348,-0.5,0.3,4.39,0.09,1.48,0.12,1.96,0.25,2,1.284,0.033,0.033,1
2158238,2052535841082100352,14.068,1.064,0.021,0.41,0.02,6964,293,-0.47,0.3,4.43,0.12,1.11,0.1,1.21,0.25,5,0.416,0.019,0.019,0
2557265,2099134071578704128,13.987,1.078,0.015,0.24,0.04,6576,230,0.1,0.3,4.35,0.12,1.18,0.09,1.14,0.25,2,0.369,0.024,0.024,0
2159852,2052527354226443904,13.559,0.758,0.016,0.57,0.04,6747,198,-1.49,0.3,3.86,0.09,2.41,0.16,1.54,0.25,0,1.036,0.028,0.028,0
2162904,2051789577626100864,12.78,0.962,0.021,0.45,0.03,7346,257,0.16,0.3,4.05,0.1,1.93,0.15,1.54,0.25,0,0.992,0.028,0.028,1
2163636,2051835417816332032,13.528,1.259,0.016,0.36,0.04,6514,198,-0.5,0.3,4.22,0.12,1.39,0.09,1.16,0.25,0,0.495,0.022,0.022,0
2164165,2051834421384450944,11.708,1.243,0.025,0.36,0.03,7106,211,-0.1,0.3,3.86,0.09,2.5,0.16,1.66,0.25,0,1.158,0.021,0.021,0
2164726,2051833287512751104,13.705,0.544,0.015,0.41,0.04,6630,207,-0.35,0.3,3.69,0.1,2.92,0.22,1.54,0.25,0,1.173,0.034,0.034,0
2165188,2051820505690111616,13.009,1.223,0.022,0.32,0.04,6662,80,-0.24,0.15,4.1,0.1,1.67,0.06,1.3,0.25,0,0.693,0.023,0.023,0
2165892,2051822773432984960,14.177,0.92,0.016,0.41,0.02,6540,211,-0.1,0.3,4.2,0.11,1.43,0.1,1.18,0.25,0,0.527,0.023,0.023,0
2166218,2051823215805729152,9.475,4.443,0.033,0.11,0.05,7070,141,-0.22,0.15,4.1,0.09,1.77,0.09,1.42,0.25,0,0.849,0.025,0.025,1
2166605,2051823387604921600,12.474,1.896,0.026,0.3,0.06,6540,228,0.04,0.3,4.2,0.12,1.43,0.11,1.19,0.25,1,0.528,0.03,0.03,0
2167334,2051658465167865984,14.133,0.738,0.019,0.28,0.04,6549,199,-0.11,0.3,4.08,0.1,1.71,0.12,1.28,0.25,0,0.687,0.031,0.03,0
2167385,2051658499527613056,15.97,0.323,0.037,0.34,0.03,6509,227,-0.1,0.3,4.03,0.15,1.81,0.26,1.27,0.25,0,0.726,0.112,0.1,0
2167444,2051660389313246080,14.33,0.754,0.064,0.43,0.06,7235,276,-0.01,0.3,4.34,0.14,1.3,0.16,1.34,0.25,5,0.618,0.084,0.078,1
