,kic,Type,dSct,gdor
862,5891975,DSCT,1.0,1.0
863,5892660,DSCT,,
864,5892969,DSCT,1.0,
865,5893839,GDORS/SOLR?,,
866,5894044,GDORS,,1.0
867,5895238,GDORS,,
868,5895647,DSCT/ROT,1.0,
869,5898780,DSCT/ROT,1.0,
870,5900574,DSCT/ROT,,
871,5904699,DSCT,1.0,
872,5904928,DSCT,1.0,
873,5908086,GDORM,,
874,5940273,DSCT,1.0,
875,5954264,GDORS,1.0,1.0
876,5954264,GDORS,1.0,1.0
877,5956305,GDORS/GDORA,,
878,5960484,GDORM,,
879,5960899,DSCT,1.0,
880,5964069,DSCT/ROT,1.0,
881,5964173,DSCT,1.0,
882,5964794,DSCT/ROT,,
883,5965837,GDORS,1.0,
884,5976681,DSCT,1.0,
885,5977646,GDORA,,
886,5977984,DSCT,1.0,
887,5980555,DSCT,1.0,
888,5982378,DSCT,1.0,
889,5985441,GDORM,,1.0
890,5985441,GDORM,,1.0
891,5988140,DSCT/ROT,1.0,
892,5989856,DSCT/ROT,1.0,
893,5990915,GDORS,,
894,5991936,DSCT,,
895,6032172,DSCT,1.0,
896,6032730,DSCT,1.0,
897,6033197,DSCT,1.0,
898,6035335,GDORS,2.0,1.0
899,6035335,GDORS,2.0,1.0
900,6035618,GDORA/ROT,,
901,6041680,DSCT/ROT,1.0,
902,6041803,GDORS,,1.0
903,6041803,GDORS,,1.0
904,6044597,GDORS,,1.0
905,6048255,GDORS,,1.0
906,6048255,GDORS,,1.0
907,6048876,DSCT,,
908,6057401,DSCT,1.0,
909,6058006,DSCT,1.0,
910,6058830,GDORS,,1.0
911,6058830,GDORS,,1.0
912,6060277,DSCT,1.0,
913,6060309,DSCT/MAIA/ROT,,
914,6060355,DSCT/ROT,,
915,6061584,DSCT,1.0,
916,6062766,GDORS,2.0,1.0
917,6062766,GDORS,2.0,1.0
918,6065651,DSCT,1.0,
919,6067707,DSCT/ROT,2.0,1.0
920,6067817,DSCT,1.0,
921,6070416,GDORA,,
922,6110119,GDORS,,
923,6113864,DSCT,1.0,
924,6114387,GDORM,,
925,6115466,DSCT,1.0,
926,6123324,DSCT,1.0,
927,6126855,GDORM,,
928,6127239,DSCT,1.0,
929,6130500,DSCT,1.0,
930,6139591,DSCT,1.0,
931,6140015,GDORS,,
932,6141372,DSCT/ROT,1.0,
933,6142919,DSCT,1.0,
934,6153233,DSCT,1.0,
935,6184298,DSCT,1.0,
936,6187665,DSCT,,
937,6199731,DSCT,1.0,
938,6206125,DSCT/EB,1.0,
939,6206627,DSCT/ROT,1.0,
940,6207355,GDORA,,1.0
941,6209293,DSCT/ROT,1.0,
942,6220010,DSCT,1.0,
943,6224312,DSCT,1.0,
944,6226293,DSCT,1.0,
945,6227118,DSCT,1.0,
946,6228306,DSCT,1.0,
947,6228371,DSCT,1.0,
948,6229130,DSCT,1.0,
949,6229502,DSCT,1.0,1.0
950,6229965,GDORA,,1.0
951,6230921,DSCT,1.0,1.0
952,6230921,DSCT,1.0,1.0
953,6231451,DSCT,1.0,
954,6262882,DSCT/ROT,,
955,6266750,DSCT,1.0,
956,6268890,DSCT/ROT,1.0,
957,6279848,DSCT,1.0,
958,6280902,DSCT/ROT,1.0,
959,6280952,DSCT,1.0,
960,6284209,GDORS,,1.0
961,6284363,DSCT,1.0,
962,6286468,GDORA,,1.0
963,6287172,DSCT/ROT,,
964,6289468,DSCT/ROT,1.0,
965,6290382,GDORM,,1.0
966,6290411,DSCT,1.0,
967,6290648,DSCT,1.0,
968,6292398,GDORM/EB,,1.0
969,6292398,GDORM/EB,,1.0
970,6293045,GDORS,,1.0
971,6293266,DSCT/EB,1.0,
