,kic,Type,dSct,gdor
1461,7973867,GDORS/ROT,,
1462,7974032,DSCT,1.0,
1463,7975162,GDORM,1.0,
1464,7976783,DSCT,,
1465,7977047,GDORS,2.0,
1466,7977163,GDORA,,
1467,7977198,DSCT,1.0,
1468,7977956,DSCT,1.0,
1469,7977996,DSCT,1.0,1.0
1470,7979504,DSCT,1.0,
1471,7984890,GDORS,,1.0
1472,7986166,DSCT,1.0,
1473,8004558,DSCT,1.0,
1474,8027456,DSCT,1.0,
1475,8028063,GDORM,,
1476,8029546,DSCT,1.0,1.0
1477,8038609,DSCT/ROT,1.0,
1478,8038679,DSCT/ROT,1.0,
1479,8041249,GDORA,,
1480,8041675,DSCT,1.0,
1481,8043436,DSCT,1.0,
1482,8045121,DSCT,,
1483,8046010,DSCT,1.0,
1484,8046934,DSCT,1.0,
1485,8052353,DSCT/EB,1.0,
1486,8054146,DSCT/ROT,1.0,
1487,8056319,DSCT,,
1488,8058127,DSCT,1.0,
1489,8058269,GDORS,,
1490,8082478,DSCT,,
1491,8085273,DSCT,1.0,
1492,8087018,DSCT,1.0,1.0
1493,8092865,DSCT,1.0,
1494,8092957,GDORM,,
1495,8098120,DSCT,1.0,
1496,8103917,DSCT,1.0,
1497,8104065,GDORS,,1.0
1498,8104065,GDORS,,1.0
1499,8104598,DSCT,1.0,
1500,8106371,DSCT/ROT,1.0,
1501,8108099,GDORS,,
1502,8109934,DSCT/EB,,
1503,8110123,GDORA,,1.0
1504,8112584,GDORS,,
1505,8113154,DSCT/EB,,
1506,8113425,GDORA,,
1507,8120184,DSCT,1.0,
1508,8121586,DSCT,1.0,
1509,8122232,DSCT,1.0,1.0
1510,8122433,DSCT/ROT,1.0,
1511,8123127,GDORM,1.0,1.0
1512,8123197,DSCT,1.0,
1513,8123377,DSCT,1.0,
1514,8123645,DSCT,1.0,1.0
1515,8125219,DSCT,1.0,
1516,8125339,GDORA,2.0,1.0
1517,8126422,DSCT/ROT,1.0,
1518,8127448,GDORM,1.0,1.0
1519,8127495,GDORA,,
1520,8127684,DSCT,1.0,
1521,8129588,DSCT,1.0,
1522,8149341,DSCT,1.0,
1523,8153747,DSCT/EB,1.0,
1524,8154223,GDORM,2.0,
1525,8164737,GDORA,,
1526,8173017,DSCT,1.0,1.0
1527,8174267,DSCT/ROT,1.0,
1528,8174306,DSCT,1.0,
1529,8175177,DSCT/ROT,1.0,
1530,8175399,GDORS,,1.0
1531,8177179,DSCT,1.0,
1532,8177748,DSCT/ROT,1.0,
1533,8178778,GDORS,2.0,1.0
1534,8178778,GDORS,2.0,1.0
1535,8180062,GDORS,,1.0
1536,8180062,GDORS,,1.0
1537,8180361,GDORA/EB,,
1538,8181880,DSCT/ROT,1.0,
1539,8187917,DSCT/ROT,1.0,
1540,8191602,DSCT,1.0,
1541,8191611,DSCT,1.0,
1542,8194874,DSCT,1.0,
1543,8196006,DSCT/ROT,1.0,
1544,8196181,GDORS,,1.0
1545,8196381,DSCT/ROT,1.0,
1546,8196777,DSCT,,
1547,8196840,DSCT,1.0,
1548,8196903,DSCT,1.0,
1549,8196911,DSCT/ROT,1.0,
1550,8197019,GDORS,2.0,1.0
1551,8197220,DSCT,1.0,
1552,8197355,DSCT,1.0,
1553,8197406,GDORS/EB,,1.0
1554,8197653,DSCT,1.0,
1555,8197761,GDORS,,1.0
1556,8197761,GDORS,,1.0
1557,8197761,GDORS,,1.0
1558,8197788,DSCT,1.0,
1559,8198031,GDORS,2.0,1.0
1560,8198031,GDORS,2.0,1.0
1561,8222685,GDORA,,
1562,8230025,DSCT,1.0,
1563,8231370,GDORS,,1.0
1564,8231370,GDORS,,1.0
1565,8231525,GDORS,2.0,1.0
1566,8233072,DSCT,1.0,
1567,8236479,DSCT/ROT,1.0,
1568,8240902,GDORM,,1.0
1569,8243158,GDORM,,1.0
1570,8244757,DSCT,1.0,
1571,8244758,DSCT/ROT,1.0,
1572,8245366,DSCT,1.0,
1573,8246833,DSCT,1.0,
1574,8247116,DSCT,1.0,
1575,8247543,DSCT,1.0,
1576,8247608,GDORA,,
1577,8248182,DSCT,1.0,
1578,8248630,DSCT,1.0,
1579,8255272,DSCT,1.0,
1580,8256643,DSCT,1.0,
1581,8259061,DSCT,1.0,1.0
1582,8259177,DSCT,1.0,
1583,8260818,GDORS,,1.0
1584,8260818,GDORS,,1.0
1585,8261157,DSCT/ROT,1.0,
1586,8263970,GDORS,2.0,1.0
1587,8263970,GDORS,2.0,1.0
1588,8264037,DSCT,1.0,
1589,8264061,GDORA,,
1590,8264075,GDORM,2.0,
1591,8264254,GDORS,,
1592,8264274,GDORM,2.0,
1593,8264287,GDORM,,
1594,8264304,GDORS,,1.0
1595,8264304,GDORS,,1.0
1596,8264404,DSCT,1.0,
1597,8264419,DSCT,,
1598,8264490,DSCT/EB,1.0,
1599,8264492,DSCT,1.0,
1600,8264494,DSCT,1.0,
1601,8264543,DSCT,1.0,
1602,8264546,DSCT,1.0,
1603,8264550,GDORS,1.0,1.0
1604,8264565,GDORS,,
1605,8264583,DSCT,2.0,
1606,8264588,DSCT,1.0,
1607,8264617,GDORA,,
1608,8264623,DSCT,1.0,
1609,8264657,DSCT/ROT,,
1610,8264667,GDORM,,1.0
1611,8264674,DSCT,1.0,
1612,8264698,DSCT,1.0,
1613,8264720,GDORS,,1.0
1614,8264949,DSCT,1.0,
1615,8264972,DSCT,,
1616,8265022,DSCT/ROT,1.0,
1617,8265082,GDORM,,
1618,8265126,GDORS,2.0,1.0
1619,8265126,GDORS,2.0,1.0
1620,8265377,DSCT/ROT,1.0,
1621,8282338,DSCT/EB,1.0,
1622,8292150,DSCT,1.0,
1623,8293692,GDORS,,1.0
1624,8293692,GDORS,,1.0
1625,8299332,DSCT,1.0,
1626,8308688,DSCT,1.0,
1627,8310243,DSCT,1.0,
1628,8311110,DSCT,1.0,
1629,8311304,DSCT,1.0,
1630,8314525,DSCT,1.0,
1631,8316105,GDORS,,1.0
1632,8316105,GDORS,,1.0
1633,8316195,DSCT/EB,1.0,
1634,8321101,DSCT?,,
1635,8321604,DSCT/ROT,1.0,
1636,8321903,GDORS,,1.0
1637,8322243,DSCT,1.0,
1638,8322861,DSCT,1.0,
1639,8324482,GDORM,,
1640,8326356,GDORS,1.0,1.0
1641,8328005,GDORS,,1.0
1642,8328005,GDORS,,1.0
1643,8329629,DSCT,1.0,
1644,8330056,GDORS,,1.0
1645,8330056,GDORS,,1.0
1646,8330102,DSCT/EB,1.0,
1647,8330222,GDORS,,1.0
1648,8330312,GDORS,,1.0
1649,8330312,GDORS,,1.0
1650,8330712,DSCT,1.0,
1651,8330740,DSCT/ROT,1.0,
1652,8330778,DSCT/ROT,1.0,
1653,8330790,DSCT,1.0,
1654,8330895,DSCT,1.0,
1655,8330910,DSCT/ROT,1.0,
1656,8331919,DSCT,1.0,
1657,8332664,GDORA,1.0,
1658,8345453,DSCT,1.0,
1659,8346686,DSCT,1.0,
1660,8351778,GDORS,1.0,1.0
1661,8351778,GDORS,1.0,1.0
1662,8351778,GDORS,1.0,1.0
1663,8352420,DSCT,1.0,
1664,8352439,GDORS,,1.0
1665,8355130,GDORS,,1.0
1666,8357961,DSCT/ROT,1.0,
1667,8358656,GDORS,,
1668,8359671,DSCT,1.0,
1669,8361174,GDORS,,
1670,8362899,DSCT,1.0,
1671,8364249,GDORS,,1.0
1672,8376471,DSCT,1.0,
1673,8377511,DSCT,2.0,
1674,8378079,GDORS,,
1675,8380088,DSCT,2.0,
1676,8380389,DSCT,1.0,
1677,8382539,GDORS/GDORA,,1.0
1678,8386122,DSCT,1.0,
1679,8388610,DSCT,1.0,
1680,8389518,GDORS,,1.0
1681,8390631,GDORS,2.0,1.0
1682,8390631,GDORS,2.0,1.0
1683,8390921,GDORM,2.0,
1684,8391086,DSCT,1.0,
1685,8395203,DSCT,1.0,
1686,8396062,DSCT,1.0,
1687,8396249,GDORS,,
1688,8396259,DSCT,1.0,
1689,8396791,DSCT,1.0,
1690,8396901,DSCT,1.0,
1691,8397426,DSCT,1.0,
1692,8411693,GDORS,2.0,1.0
1693,8411693,GDORS,2.0,1.0
1694,8415752,DSCT,1.0,
1695,8420644,DSCT,1.0,
1696,8422756,GDORS,,
1697,8427895,DSCT,1.0,
1698,8429528,DSCT,2.0,
1699,8429634,DSCT/EB,1.0,
1700,8429756,DSCT/ROT,1.0,
1701,8430119,DSCT,2.0,
1702,8430210,DSCT/ROT,,
1703,8430954,GDORS,,
1704,8431006,GDORS,,
1705,8439566,DSCT,1.0,
1706,8443132,GDORS,,1.0
1707,8443132,GDORS,,1.0
1708,8443311,DSCT,1.0,
1709,8446738,DSCT,1.0,
1710,8450600,DSCT/ROT,1.0,
1711,8450921,GDORM,,
1712,8452639,DSCT,1.0,
1713,8453431,DSCT/EB,1.0,
1714,8453722,DSCT/ROT,1.0,
1715,8454553,DSCT,1.0,
1716,8456728,DSCT/ROT,,
1717,8456774,DSCT/HRTB,,
1718,8457452,GDORA,,
1719,8458690,DSCT/ROT,1.0,1.0
1720,8458690,DSCT/ROT,1.0,1.0
1721,8459354,DSCT/HRTB,,
1722,8460126,DSCT,1.0,
1723,8460683,DSCT,1.0,
1724,8460993,DSCT,1.0,
1725,8461125,DSCT,1.0,
1726,8461589,DSCT,1.0,
1727,8489712,GDORM,,
1728,8491816,DSCT,1.0,
1729,8495755,GDORS,,1.0
1730,8495755,GDORS,,1.0
1731,8496367,GDORM,,1.0
1732,8504544,DSCT,1.0,
1733,8506388,DSCT,1.0,
1734,8507325,DSCT,1.0,
1735,8510534,DSCT,1.0,
1736,8516008,DSCT,1.0,
1737,8516686,DSCT,1.0,
1738,8517859,DSCT,1.0,
1739,8520436,DSCT,1.0,
1740,8521020,GDORS,2.0,
1741,8523871,GDORM,,1.0
1742,8523871,GDORM,,1.0
1743,8524464,DSCT,1.0,
1744,8525286,DSCT,,
1745,8525691,GDORM,2.0,1.0
1746,8525805,GDORA,,
1747,8526451,DSCT,1.0,
1748,8542993,GDORS,,1.0
1749,8552907,DSCT/EB,1.0,
1750,8556233,DSCT,1.0,
1751,8557474,GDORS,,
1752,8559796,GDORS,,1.0
1753,8559796,GDORS,,1.0
1754,8560867,DSCT,1.0,
1755,8560996,DSCT/ROT,1.0,
1756,8563841,DSCT,1.0,
1757,8566113,DSCT,2.0,
1758,8566353,GDORS,,
1759,8569819,DSCT,,
1760,8570117,DSCT,1.0,
1761,8571022,DSCT/ROT,1.0,
1762,8571529,DSCT,1.0,
1763,8572324,DSCT,1.0,
1764,8574652,DSCT,1.0,
1765,8579615,DSCT,1.0,
1766,8580028,DSCT,1.0,
1767,8580228,DSCT,1.0,
1768,8583770,DSCT/MAIA/ROT,1.0,
1769,8589526,DSCT/EB,,
1770,8590553,DSCT,1.0,
1771,8608260,DSCT,1.0,
1772,8620684,DSCT/EB,1.0,
1773,8621095,DSCT,1.0,
1774,8623953,DSCT,1.0,
1775,8625580,DSCT,1.0,
1776,8626219,DSCT,1.0,
1777,8626462,DSCT/EB,1.0,
1778,8630712,GDORS,,1.0
1779,8639063,DSCT/ROT,1.0,
1780,8645874,DSCT,1.0,1.0
1781,8648356,DSCT,,
1782,8650712,DSCT,1.0,
1783,8650819,DSCT,1.0,
1784,8651452,GDORS,2.0,1.0
1785,8653563,DSCT,1.0,
1786,8654540,DSCT,1.0,
1787,8655712,DSCT,1.0,
1788,8656375,GDORS,,
1789,8677034,GDORM,,
1790,8686975,GDORS,,1.0
1791,8695156,DSCT,1.0,
1792,8712155,GDORS,,
1793,8712174,GDORA,,1.0
1794,8712760,DSCT,,
1795,8717065,DSCT,1.0,
1796,8717742,GDORS,,
1797,8718678,GDORS,2.0,1.0
1798,8719419,GDORA,,
1799,8738244,DSCT,1.0,
1800,8748251,GDORM,,
1801,8750029,DSCT/EB,1.0,
1802,8750446,DSCT,1.0,
1803,8751056,DSCT/ROT,1.0,
1804,8752359,DSCT,1.0,1.0
1805,8758366,DSCT,1.0,
1806,8761309,DSCT/ROT,1.0,
1807,8766611,GDORS,,
1808,8766619,DSCT,1.0,
1809,8772391,DSCT,1.0,
1810,8773961,DSCT,1.0,
1811,8778483,DSCT/ROT,1.0,
1812,8782561,DSCT,1.0,
1813,8782821,GDORS,,1.0
1814,8783270,DSCT,1.0,
1815,8816310,GDORS,,1.0
1816,8816310,GDORS,,1.0
1817,8816903,GDORA,,1.0
1818,8819284,DSCT,1.0,
1819,8826317,GDORM,,
1820,8826718,DSCT,1.0,
1821,8827572,GDORM,2.0,
1822,8827821,DSCT,1.0,
1823,8842494,DSCT,1.0,
1824,8845312,DSCT,1.0,
1825,8847349,DSCT/ROT,,
1826,8869302,GDORA,,1.0
1827,8869892,DSCT,1.0,
1828,8871304,GDORA,,1.0
1829,8871304,GDORA,,1.0
1830,8871304,GDORA,,1.0
1831,8879964,GDORS,,1.0
1832,8881697,DSCT,1.0,
1833,8890192,GDORA,,
1834,8893443,GDORS,,
1835,8894630,DSCT,,
1836,8904065,GDORS,,
1837,8906294,DSCT,1.0,
1838,8907618,DSCT,1.0,
1839,8912468,DSCT,,
1840,8912730,DSCT,1.0,
1841,8914322,DSCT,1.0,
1842,8914866,DSCT,1.0,
1843,8916266,DSCT,1.0,
1844,8933391,DSCT,1.0,
1845,8955867,GDORS,2.0,
1846,8959745,DSCT,1.0,
1847,8961823,GDORS,,
1848,8963002,DSCT,1.0,
1849,8964755,DSCT/ROT,1.0,
1850,8964935,DSCT,1.0,
1851,8972489,DSCT,1.0,
1852,8972966,DSCT,1.0,
1853,8973529,GDORS,,1.0
1854,8973529,GDORS,,1.0
1855,8973529,GDORS,,1.0
1856,8974140,DSCT,1.0,
1857,8975515,DSCT,1.0,1.0
1858,8975644,DSCT,1.0,
1859,8978630,DSCT,1.0,
1860,8979487,DSCT,1.0,
1861,8981568,DSCT/ROT,,
1862,9016344,GDORS,1.0,1.0
1863,9016467,DSCT?,2.0,
1864,9018502,GDORM,,
1865,9020157,GDORS,,
1866,9020199,DSCT,1.0,
1867,9026611,DSCT,1.0,
1868,9027328,GDORS/GDORA,,
1869,9027876,GDORM,,
1870,9028104,DSCT/ROT,1.0,
1871,9028154,DSCT,1.0,
1872,9031731,GDORS,,
1873,9033354,GDORS,,
1874,9045401,DSCT/ROT,,
1875,9050337,DSCT/EB,1.0,
1876,9051487,DSCT,1.0,
1877,9051902,DSCT,1.0,
1878,9052363,DSCT/ROT,,
1879,9054553,DSCT,1.0,
1880,9072011,DSCT,1.0,
1881,9073007,DSCT,1.0,
1882,9092529,GDORM,1.0,
1883,9092897,DSCT/ROT,1.0,
1884,9093266,DSCT,1.0,
1885,9093300,GDORS,,
1886,9094694,DSCT,1.0,
1887,9097423,DSCT,1.0,
1888,9098129,GDORA,,
1889,9099728,DSCT,1.0,
1890,9099846,GDORS,,
1891,9099927,GDORM/EB,,
1892,9108615,DSCT,1.0,
1893,9108841,DSCT/ROT,1.0,
1894,9111056,DSCT,1.0,
1895,9119402,GDORM,1.0,
1896,9137447,DSCT,1.0,
1897,9138872,DSCT,1.0,
1898,9143785,DSCT,1.0,
1899,9147229,GDORS,2.0,
1900,9149959,GDORS,,
1901,9150012,GDORS,,
1902,9152634,DSCT,1.0,
1903,9152994,GDORS,,
1904,9156808,DSCT,,
1905,9159978,GDORS,,
1906,9161894,GDORS,,
1907,9163221,GDORS,,
1908,9165393,DSCT,1.0,
1909,9166826,GDORS,,
1910,9171954,DSCT,1.0,
1911,9172627,DSCT/ROT,1.0,
1912,9172981,DSCT,1.0,
1913,9174121,DSCT,1.0,
1914,9178501,DSCT/ROT,1.0,
1915,9178502,DSCT,1.0,
1916,9180906,DSCT,1.0,
1917,9182854,GDORS,,1.0
1918,9201644,DSCT,1.0,
1919,9204718,DSCT/ROT,1.0,
1920,9207344,DSCT,1.0,
1921,9210037,DSCT,1.0,
1922,9222942,DSCT,1.0,
1923,9226081,DSCT,1.0,
1924,9226540,GDORA,,
1925,9227120,DSCT,1.0,
1926,9228115,DSCT,1.0,
1927,9229318,DSCT,1.0,
1928,9229342,DSCT,1.0,
1929,9238121,GDORS,,1.0
1930,9238121,GDORS,,1.0
1931,9239211,DSCT,1.0,
1932,9239681,DSCT,,
1933,9241509,DSCT,1.0,
1934,9242127,DSCT,1.0,
1935,9243464,DSCT,1.0,
1936,9243562,DSCT,1.0,
1937,9244992,DSCT,1.0,1.0
1938,9244992,DSCT,1.0,1.0
1939,9244992,DSCT,1.0,1.0
1940,9246481,DSCT,1.0,
1941,9265050,DSCT,1.0,
1942,9267042,DSCT,1.0,
1943,9268283,GDORS,,
1944,9283128,DSCT,1.0,
1945,9284099,GDORS,,
1946,9285587,DSCT,,
1947,9288151,DSCT,,
1948,9288175,DSCT/EB,,
1949,9291275,DSCT/EB,1.0,
1950,9291618,DSCT,1.0,
1951,9299980,DSCT/ROT,1.0,
1952,9300295,DSCT,1.0,
1953,9300507,GDORM,,
1954,9300946,GDORS,,
1955,9302543,DSCT,1.0,
1956,9303041,DSCT,1.0,
1957,9304409,DSCT/ROT,1.0,
1958,9304923,DSCT,1.0,
1959,9305574,DSCT,1.0,
1960,9305952,DSCT,1.0,
1961,9306095,DSCT,1.0,
1962,9308371,DSCT,,
1963,9324334,DSCT,1.0,
1964,9343993,GDORS,,
1965,9344493,GDORS,,1.0
1966,9344493,GDORS,,1.0
1967,9344493,GDORS,,1.0
1968,9344572,DSCT,1.0,
1969,9347095,DSCT,1.0,
1970,9349426,GDORA/ROT,,1.0
1971,9349426,GDORA/ROT,,1.0
1972,9350235,GDORS,,
1973,9350686,GDORS,,
1974,9351205,DSCT,1.0,
1975,9351622,DSCT,1.0,
1976,9353572,DSCT/ROT,1.0,
1977,9364192,DSCT/EB,1.0,
1978,9367382,DSCT,1.0,
1979,9368220,DSCT,1.0,
1980,9369547,DSCT,1.0,
1981,9388435,GDORM,2.0,
1982,9391395,DSCT,1.0,
1983,9392416,DSCT/ROT,1.0,
1984,9396399,GDORM,1.0,1.0
1985,9402693,DSCT,1.0,
1986,9408603,GDORS,,
1987,9408694,DSCT,1.0,
1988,9409239,GDORS,,1.0
1989,9409239,GDORS,,1.0
1990,9409239,GDORS,,1.0
1991,9410527,DSCT,1.0,
1992,9413057,DSCT,1.0,
1993,9413296,GDORS,,1.0
1994,9413296,GDORS,,1.0
1995,9415300,DSCT,1.0,
1996,9419182,GDORS,,1.0
1997,9419182,GDORS,,1.0
1998,9419182,GDORS,,1.0
1999,9419694,GDORA,,
2000,9425403,DSCT,1.0,
2001,9425897,DSCT/ROT,1.0,
2002,9426970,DSCT/ROT,,
2003,9428798,DSCT/ROT,1.0,
2004,9429060,DSCT,1.0,
2005,9450392,DSCT,1.0,
2006,9450940,DSCT,1.0,
2007,9453075,DSCT,1.0,
2008,9453452,DSCT,1.0,
2009,9456389,GDORS,,
2010,9456996,GDORA,,
2011,9463183,DSCT,1.0,
2012,9466030,DSCT,1.0,
2013,9468126,GDORS,,
2014,9469599,GDORA,,
2015,9470054,DSCT/ROT,,
2016,9471360,GDORS,,
2017,9471419,DSCT,2.0,
2018,9473000,DSCT/ROT,1.0,
2019,9480469,GDORA,,1.0
2020,9480469,GDORA,,1.0
2021,9480516,DSCT/EB,,
2022,9487871,DSCT/ROT,,
2023,9488426,DSCT,1.0,
2024,9488445,DSCT,1.0,
2025,9489590,DSCT,1.0,
2026,9489626,DSCT,1.0,
2027,9490042,GDORM,1.0,
2028,9490067,GDORS,1.0,1.0
2029,9490067,GDORS,1.0,1.0
2030,9509296,DSCT,1.0,
2031,9516796,DSCT,1.0,
2032,9529073,DSCT,,
2033,9532168,DSCT/ROT,1.0,
2034,9532644,DSCT,1.0,
2035,9532712,GDORA,,
2036,9533449,DSCT/ROT,1.0,
2037,9533483,GDORA,,
2038,9533489,DSCT,,1.0
2039,9536515,DSCT,1.0,
2040,9550886,DSCT/ROT,1.0,
2041,9551281,DSCT,1.0,
2042,9552411,GDORS,,
2043,9552758,DSCT,1.0,
2044,9573582,GDORS,,1.0
2045,9573582,GDORS,,1.0
2046,9573582,GDORS,,1.0
2047,9578461,DSCT,1.0,
2048,9579818,DSCT,1.0,1.0
2049,9580794,DSCT,1.0,
2050,9588232,GDORS,,
2051,9588953,DSCT,1.0,
2052,9591519,DSCT,1.0,
2053,9594007,GDORS,,1.0
2054,9594007,GDORS,,1.0
2055,9594007,GDORS,,1.0
2056,9594022,DSCT,1.0,
2057,9594029,DSCT,,
2058,9594100,GDORS,,1.0
2059,9594100,GDORS,,1.0
2060,9594100,GDORS,,1.0
2061,9594857,DSCT,1.0,
2062,9595230,GDORA,,
2063,9596093,DSCT/ROT,1.0,
2064,9596300,DSCT,2.0,
2065,9596355,DSCT/ROT,1.0,
2066,9596469,DSCT,1.0,
2067,9597218,DSCT,2.0,
2068,9598448,DSCT,1.0,1.0
2069,9602542,DSCT,,
2070,9604762,DSCT,1.0,
2071,9606739,DSCT,1.0,
2072,9612468,DSCT,,
2073,9612697,DSCT,1.0,
2074,9630640,DSCT/ROT,1.0,
2075,9632537,DSCT/ROT,1.0,
2076,9636283,DSCT,1.0,
2077,9637265,DSCT/EB,,
2078,9640891,DSCT,1.0,
2079,9642894,DSCT,1.0,
2080,9649801,DSCT,1.0,
2081,9650390,DSCT,1.0,
2082,9650501,DSCT,1.0,
2083,9651065,DSCT,1.0,1.0
2084,9651298,DSCT/EB,,
2085,9651658,GDORA,,
2086,9652302,GDORM,2.0,1.0
2087,9652302,GDORM,2.0,1.0
2088,9653450,DSCT/ROT,1.0,
2089,9654789,GDORA,,
2090,9655055,DSCT,1.0,
2091,9655114,DSCT,1.0,
2092,9655151,GDORS,,1.0
2093,9655151,GDORS,,1.0
2094,9655169,DSCT,,
2095,9655177,DSCT,1.0,
2096,9655392,DSCT,,
2097,9655393,DSCT,1.0,
2098,9655399,GDORA,,
2099,9655402,DSCT,1.0,
2100,9655404,DSCT,,
2101,9655422,DSCT,1.0,
2102,9655438,DSCT/ROT,1.0,
2103,9655444,DSCT,1.0,
2104,9655470,DSCT,1.0,
2105,9655501,DSCT,1.0,
2106,9655514,DSCT,1.0,
2107,9655624,GDORM,,
2108,9655769,DSCT,1.0,
2109,9655800,GDORS,,
2110,9655909,DSCT,1.0,
2111,9656348,DSCT,1.0,
2112,9656741,DSCT,1.0,
2113,9656934,GDORA,,
2114,9666465,DSCT/ROT,1.0,
2115,9667584,DSCT,1.0,
2116,9673293,DSCT/ROT,1.0,
2117,9693282,DSCT,1.0,
2118,9696853,GDORS,,
2119,9700145,DSCT,1.0,
2120,9700322,DSCT,1.0,
2121,9700679,DSCT,,
2122,9710475,DSCT,1.0,
2123,9713244,DSCT,1.0,
2124,9714209,DSCT,1.0,
2125,9714633,DSCT,2.0,
2126,9715359,DSCT,1.0,
2127,9716107,GDORS,,1.0
2128,9716107,GDORS,,1.0
2129,9716220,DSCT,1.0,
2130,9716358,GDORS,,1.0
2131,9716385,DSCT/ROT,1.0,
2132,9716523,DSCT,,
2133,9716947,DSCT,1.0,
2134,9717861,DSCT,1.0,
2135,9724080,DSCT/ROT,,
2136,9724220,DSCT/ROT,1.0,
2137,9725543,DSCT,1.0,
2138,9726084,GDORA,,
2139,9730397,DSCT,1.0,1.0
2140,9762713,DSCT,1.0,
2141,9762866,DSCT,1.0,
2142,9764506,GDORS,,
2143,9764965,DSCT,1.0,
2144,9772075,GDORS,,
2145,9773094,DSCT,1.0,
2146,9773172,GDORS/ROT,,
2147,9773512,DSCT,1.0,
2148,9773821,DSCT/SOLR,,
2149,9774314,DSCT/ROT,1.0,
2150,9774357,GDORM,,
2151,9775385,DSCT,1.0,
2152,9775454,DSCT,1.0,
2153,9776378,DSCT,1.0,
2154,9777807,GDORA,,1.0
2155,9778742,GDORS,,
2156,9786859,GDORS,,
2157,9790144,GDORS/EB,,
2158,9790479,DSCT,1.0,
2159,9791112,DSCT,1.0,
2160,9791381,DSCT,,
2161,9812351,DSCT,1.0,
2162,9812716,DSCT,1.0,
2163,9813078,DSCT,1.0,
2164,9818269,DSCT,1.0,
2165,9823602,DSCT,1.0,
2166,9823652,DSCT,1.0,
2167,9828226,DSCT,1.0,
2168,9832497,DSCT/ROT,1.0,
2169,9832655,DSCT,1.0,
2170,9832727,DSCT/ROT,1.0,
2171,9836020,DSCT,1.0,
2172,9836073,DSCT,1.0,
2173,9837267,DSCT,1.0,
2174,9837659,DSCT/ROT,1.0,
2175,9838496,DSCT/ROT,1.0,
2176,9839184,DSCT,1.0,
2177,9839547,GDORS,,
2178,9842860,GDORA,,
2179,9844510,GDORA,,
2180,9844791,DSCT,1.0,
2181,9845573,DSCT,1.0,
2182,9845907,DSCT,1.0,
2183,9846419,GDORS,,
2184,9847243,GDORS,,1.0
2185,9847243,GDORS,,1.0
2186,9847901,GDORM,,
2187,9848000,GDORA,,
2188,9848460,GDORM,,
2189,9849107,DSCT,1.0,
2190,9850393,DSCT,1.0,
2191,9874181,DSCT,1.0,
2192,9875566,DSCT,1.0,1.0
2193,9881909,GDORS,,
2194,9892624,DSCT,1.0,
2195,9893388,DSCT,2.0,
2196,9895269,DSCT,1.0,
2197,9895857,DSCT/ROT,1.0,
2198,9896606,GDORS/ROT,,1.0
2199,9896743,GDORS/EB,,
2200,9897089,DSCT,1.0,1.0
2201,9898401,DSCT/EB/ROT,,
2202,9903360,DSCT/ROT,1.0,
2203,9905648,GDORS,,
2204,9907383,GDORS,,
2205,9909300,GDORA,,
2206,9910533,DSCT,1.0,
2207,9913819,DSCT,1.0,
2208,9943441,DSCT/ROT,1.0,
2209,9953617,DSCT,1.0,
2210,9955262,GDOR/EB?,,
2211,9962653,GDORA,,1.0
2212,9962653,GDORA,,1.0
2213,9963609,DSCT,1.0,
2214,9963667,DSCT,1.0,
2215,9966976,DSCT,1.0,
2216,9967183,GDORS,,
2217,9969989,GDORS/ROT,,
2218,9970139,GDORM,,
2219,9970568,DSCT,1.0,
2220,9971786,DSCT/ROT,1.0,
2221,9973036,DSCT,1.0,
2222,9974087,DSCT,,
2223,10000056,DSCT,,
2224,10001145,DSCT,1.0,
2225,10002897,DSCT/ROT,1.0,
2226,10004660,DSCT,1.0,
2227,10014548,DSCT,1.0,
2228,10014604,DSCT,1.0,
2229,10014649,DSCT,1.0,
2230,10015534,GDORS/ROT?,,
2231,10028433,GDORS,,
2232,10029999,DSCT,1.0,
2233,10030943,DSCT/ROT,,
2234,10031634,DSCT,1.0,
2235,10034227,DSCT/ROT,1.0,
2236,10035155,DSCT,1.0,
2237,10035772,DSCT,1.0,
2238,10056297,DSCT,1.0,1.0
2239,10056931,DSCT,1.0,
2240,10065244,DSCT,1.0,
2241,10069934,GDORA,,
2242,10071056,DSCT/ROT,1.0,
2243,10073601,GDORM,,
2244,10079420,DSCT/ROT,1.0,
2245,10080943,DSCT,1.0,1.0
2246,10080943,DSCT,1.0,1.0
2247,10080943,DSCT,1.0,1.0
2248,10080943,DSCT,1.0,1.0
2249,10080943,DSCT,1.0,1.0
2250,10083442,GDORS,,
2251,10091792,GDORS,2.0,1.0
2252,10091792,GDORS,2.0,1.0
2253,10091792,GDORS,2.0,1.0
2254,10093607,GDORS/GDORA,,
2255,10095496,DSCT,1.0,
2256,10096499,GDORS,,
2257,10130777,DSCT,1.0,
2258,10134800,DSCT,1.0,
2259,10154094,DSCT,1.0,1.0
2260,10154966,DSCT,1.0,
2261,10155321,GDORM,2.0,
2262,10159927,DSCT/ROT,1.0,
2263,10164569,DSCT/ROT,1.0,
2264,10196863,DSCT/ROT,1.0,
2265,10199055,DSCT,1.0,
2266,10199218,GDORS,,
2267,10207957,GDORA,,
2268,10208345,DSCT,1.0,
2269,10213964,DSCT/ROT,1.0,
2270,10213987,DSCT,1.0,
2271,10219475,DSCT,1.0,
2272,10220150,DSCT,,
