kic,KIC_mag,l,m,first_peak,last_peak,mean_period,largest_spacing,smallest_spacing,mean_spacing,slope,slope_err,Teff,Teff_err,luminosity,luminosity_err,FeHi,FeHi_error,new_logg,new_logg_error,asymptotic_spacing,asymptotic_spacing_uperr,asymptotic_spacing_downerr,rotation,rotation_uperr,rotation_downerr,min_radial_order,max_radial_order,teff_lamost,logg_lamost,feh_lamost,rv_lamost
3867256, 12.94, 1.0, 1.0, 0.3717137963059633, 0.422295124949234, 0.40140940923924684, 0.003198620010298081, 0.0006369541400386702, 0.001736550088123356, -0.045511267407901505, 0.0013193484215882467, 7397, 258, 17.78279410038923, 1.6260646755385544, -0.14, 0.3, 3.86, 0.1, 5793.368634341052, 345.5370376724941, 374.82813979058665, 2.0854172119310186, 0.013500536401863883, 0.01602987897883068, 26, 55, 0, 0, 9999, 9999
3967333, 11.58, 1.0, 1.0, 0.4909891053440395, 0.5584948606359255, 0.5250726356016592, 0.010790774237298795, 0.00868809946155269, 0.009585576441138343, -0.03301973697835732, 0.004890153481945953, 6930, 192, 16.405897731995395, 1.458978016525112, 0.27, 0.3, 3.77, 0.09, 3929.6751285144983, 266.3482634789043, 273.59878848782, 1.0265033972057318, 0.030070740251889827, 0.03444310238963111, 25, 32, 0, 0, 9999, 9999
1026861, 11.00, 1.0, 1.0, 1.1856057953031036, 1.6771747989517793, 1.4793907117067164, 0.01902958861504689, 0.004255892332726052, 0.014332503540117895, -0.013711904648902835, 0.0009702208026026242, 7057, 80, 8.511380382023766, 0.5043309940358043, -0.03, 0.15, 4.03, 0.08, 4312.719518463267, 45.39334653899823, 47.46508718493169, 0.3111250038548098, 0.0020028165003280196, 0.002122813072567009, 45, 79, 7042.26, 4.035, -0.066, -37.96
1026861, 11.00, 2.0, 2.0, 0.7030116801366739, 0.917853395142753, 0.8142024020694468, 0.008028321172028452, 0.004394466441333789, 0.006101606780829502, -0.014145454059254447, 0.0017129899954203864, 7057, 80, 8.511380382023766, 0.5043309940358043, -0.03, 0.15, 4.03, 0.08, 4312.719518463267, 45.39334653899823, 47.46508718493169, 0.3111250038548098, 0.0020028165003280196, 0.002122813072567009, 57, 92, 7042.26, 4.035, -0.066, -37.96
1162345, 11.68, 2.0, 2.0, 0.2724393407657978, 0.28580078611950893, 0.2787249998980807, 0.0010206029353749813, 0.0006713525213941085, 0.0008345014090496553, -0.026795488942656598, 0.0011037213271404024, 6507, 189, 37.67037989839087, 3.1615587348783194, -0.24, 0.3, 3.36, 0.09, 4368.248791783199, 425.28289315149414, 405.56437206328155, 1.4633651616822618, 0.020648890996216362, 0.022822056846998784, 55, 71, 0, 0, 9999, 9999
1162345, 11.68, 1.0, 1.0, 0.48487399547827087, 0.5256220817890928, 0.5100102450830316, 0.004142890782457442, 0.002757118339536846, 0.003376784566135993, -0.03533153986860314, 0.0005098157892152354, 6507, 189, 37.67037989839087, 3.1615587348783194, -0.24, 0.3, 3.36, 0.09, 4368.248791783199, 425.28289315149414, 405.56437206328155, 1.4633651616822618, 0.020648890996216362, 0.022822056846998784, 35, 47, 0, 0, 9999, 9999
1295531, 11.94, 1.0, 1.0, 0.5033401911816727, 0.9768550892612555, 0.7596164056713607, 0.021489704372503193, 0.00967362300905561, 0.014770129456224829, -0.027037956649775114, 0.0004541675192664825, 6755, 80, 0, 0, 9999, 9999, 0, 0, 4201.390828252207, 21.73788329900981, 21.551061369780655, 0.5717339060728238, 0.002394347793471918, 0.0023761134706129505, 18, 50, 7051.7, 4.0, 0.113, -24.4
1432149, 11.22, 2.0, 2.0, 0.28082562517968046, 0.30031777368559476, 0.2907560261725708, 0.0012016290759505055, 0.00069157555082483, 0.0009183579687335538, -0.028042092658905386, 0.0005749829025377309, 7492, 262, 11.561122421920986, 0.7983519125241152, -0.14, 0.3, 4.03, 0.1, 4159.1069019676215, 415.4591114096511, 423.4712661334752, 1.3795024104173657, 0.02049112973923206, 0.02359858755695443, 54, 75, 7169.5, 3.9810000000000003, 0.009000000000000001, -1.6
1432149, 11.22, 1.0, 1.0, 0.5325019611267614, 0.5563014296835856, 0.5444500882369218, 0.0033328955367527557, 0.002654104539490554, 0.0029668673804859585, -0.03239295582832042, 0.000631452457611127, 7492, 262, 11.561122421920986, 0.7983519125241152, -0.14, 0.3, 4.03, 0.1, 4159.1069019676215, 415.4591114096511, 423.4712661334752, 1.3795024104173657, 0.02049112973923206, 0.02359858755695443, 44, 52, 7169.5, 3.9810000000000003, 0.009000000000000001, -1.6
1575977, 13.61, 1.0, 1.0, 0.3333020189310368, 0.4155099655183532, 0.377835009919603, 0.010445787214681812, 0.0062916617803558395, 0.008202435654389216, -0.05417328931931992, 0.0014390389080651243, 7272, 272, 8.770008211436346, 0.681475712970947, -0.21, 0.3, 4.07, 0.11, 3802.14325543695, 100.0755593751228, 99.13229642709439, 1.5037303718702275, 0.015382968935679031, 0.016421801003493774, 18, 28, 7133.9, 4.103, -0.011000000000000001, 8.29
