,kic
532,5898780
533,5900574
534,5904699
535,5904928
536,5940273
537,5960899
538,5964069
539,5964173
540,5964794
541,5976681
542,5977984
543,5980555
544,5982378
545,5988140
546,5989856
547,5991936
548,6032172
549,6032730
550,6033197
551,6041680
552,6048876
553,6057401
554,6058006
555,6060277
556,6060309
557,6060355
558,6061584
559,6065651
560,6067707
561,6067817
562,6113864
563,6115466
564,6123324
565,6127239
566,6130500
567,6139591
568,6141372
569,6142919
570,6153233
571,6184298
572,6187665
573,6199731
574,6206125
575,6206627
576,6209293
577,6220010
578,6224312
579,6226293
580,6227118
581,6228306
582,6228371
583,6229130
584,6229502
585,6230921
586,6231451
587,6262882
588,6266750
589,6268890
590,6279848
591,6280902
592,6280952
593,6284363
594,6287172
595,6289468
596,6290411
597,6290648
598,6293266
599,6294889
600,6301132
601,6302589
602,6302592
603,6302655
604,6308416
605,6310397
606,6311564
607,6314475
608,6356928
609,6357795
610,6366617
611,6372320
612,6381128
613,6381306
614,6384854
615,6385010
616,6387257
617,6388333
618,6388443
619,6389098
620,6390013
621,6390243
622,6428932
623,6429742
624,6432054
625,6441436
626,6443122
627,6445601
628,6446951
629,6448173
630,6448362
631,6451605
632,6451876
633,6463047
634,6464938
635,6467639
636,6467726
637,6470973
638,6508203
639,6508478
640,6509175
641,6511019
642,6511354
643,6520969
644,6522144
645,6522179
646,6532022
647,6546327
648,6548709
649,6579643
650,6584042
651,6586052
652,6586333
653,6587551
654,6590403
655,6593488
656,6595315
657,6604303
658,6606229
659,6612353
660,6613627
661,6614168
662,6629106
663,6633452
664,6635026
665,6636041
666,6668729
667,6670742
668,6671321
669,6675944
670,6678614
671,6691244
672,6697128
673,6697609
674,6706038
675,6707493
676,6716670
677,6720889
678,6756386
679,6756481
680,6761539
681,6762992
682,6776331
683,6777127
684,6778063
685,6780873
686,6783879
687,6784155
688,6790335
689,6792983
690,6793409
691,6804821
692,6842139
693,6844024
694,6848661
695,6854623
696,6860968
697,6862920
698,6865077
699,6871866
700,6877609
701,6879594
702,6891998
703,6922690
704,6922830
705,6937758
706,6939203
707,6939291
708,6946681
709,6947064
710,6951231
711,6951642
712,6952097
713,6964804
714,6965782
715,6965789
716,6967360
717,6974111
718,6975466
719,6976420
720,7020707
721,7021890
722,7035099
723,7035179
724,7045605
725,7045685
726,7047356
727,7047963
728,7052048
729,7060333
730,7101676
731,7106205
732,7106877
733,7108883
734,7109598
735,7118167
736,7119530
737,7122746
738,7124680
739,7125970
740,7137952
741,7138415
742,7173839
743,7174372
744,7181066
745,7202395
746,7204237
747,7207672
748,7211759
749,7212040
750,7214475
751,7217483
752,7219251
753,7219502
754,7265427
755,7283317
756,7287118
757,7287328
758,7297189
759,7299869
760,7300184
761,7300387
762,7300623
763,7301202
764,7301435
765,7301640
766,7337049
767,7337156
768,7347529
769,7350486
770,7352016
771,7352425
772,7352776
773,7368590
774,7368960
775,7375612
776,7378020
777,7378067
778,7384711
779,7385500
780,7430757
781,7450284
782,7454979
783,7454990
784,7455624
785,7456441
786,7457355
787,7458697
788,7461607
789,7463044
790,7465364
791,7467518
792,7467539
793,7502559
794,7522572
