,kic
2138,9244177
2139,9279862
2140,9655407
2141,9288444
2142,9288456
2143,9289704
2144,9289960
2145,9290948
2146,9292463
2147,9301183
2148,9303033
2149,9304367
2150,9331207
2151,9343888
2152,9364179
2153,9366994
2154,9369047
2155,9388435
2156,9395246
2157,9396399
2158,9402020
2159,9412618
2160,9458275
2161,9469775
2162,9471399
2163,9488454
2164,9490042
2165,9490067
2166,9526946
2167,9529640
2168,9593997
2169,9594915
2170,9613175
2171,9614124
2172,9640204
2173,9652302
2174,9655288
2175,9655346
2176,9655419
2177,9699950
2178,9706609
2179,9716256
2180,9716528
2181,9716609
2182,9716667
2183,9724292
2184,9751996
2185,9754111
2186,9758615
2187,9762390
2188,10484817
2189,9776474
2190,9776816
2191,9777351
2192,9788612
2193,9791509
2194,9818160
2195,9824673
2196,9826562
2197,9833280
2198,9837573
2199,9845898
2200,9851822
2201,9895543
2202,9896277
2203,9908621
2204,9936518
2205,9942562
2206,9945390
2207,9954643
2208,9959422
2209,9964619
2210,9970841
2211,10019347
2212,10034489
2213,10035150
2214,10087801
2215,10091792
2216,10095685
2217,10134571
2218,10147217
2219,10148766
2220,10155321
2221,10195926
2222,10206643
2223,10265524
2224,10284901
2225,10346424
2226,10350769
2227,10360294
2228,10362577
2229,10382922
2230,10385459
2231,10415502
2232,10468883
2233,10470294
2234,10481462
2235,10489019
2236,10489311
2237,10536326
2238,10538299
2239,10549422
2240,10550657
2241,10551271
2242,10556064
2243,10586837
2244,10598894
2245,10612854
2246,10647493
2247,10652807
2248,10659654
2249,10669515
2250,11622535
2251,10679607
2252,10681464
2253,10722668
2254,10783150
2255,10803371
2256,10815083
2257,10818266
2258,10859386
2259,10862354
2260,10873947
2261,10875239
2262,10877182
2263,10921757
2264,10923648
2265,10933870
2266,10936043
2267,10936474
2268,10963731
2269,10974769
2270,10989859
2271,10990083
2272,11026045
2273,11025754
2274,11031512
2275,11031749
2276,11081053
2277,11092638
2278,11140501
2279,11143576
2280,11147994
2281,11151714
2282,11152649
2283,11182608
2284,11183259
2285,11196370
2286,11201483
2287,11288686
2288,11294808
2289,11294931
2290,11296437
2291,11303090
2292,11306611
2293,11413125
2294,11414527
2295,11462151
2296,11519180
2297,11548888
2298,11550154
2299,11564882
2300,11565950
2301,11569628
2302,11607017
2303,11612274
2304,11623878
2305,11649459
2306,11649699
2307,11657371
2308,11662513
2309,11666104
2310,11666429
2311,11667100
2312,11754974
2313,11759297
2314,11775251
2315,11819079
2316,11824578
2317,11825955
2318,11852985
2319,11868514
2320,11904306
2321,11905761
2322,11906211
2323,11908559
2324,11922283
2325,11923562
2326,11924366
2327,11954651
2328,11975271
2329,12011260
2330,12016717
2331,12017894
2332,12018834
2333,12055345
2334,12055770
2335,12062443
2336,12073334
2337,12073683
2338,12111004
2339,12117689
2340,12155426
2341,12165113
2342,12166194
2343,12170722
2344,12202143
2345,12215002
2346,12217281
2347,12268579
2348,12352485
2349,12357103
2350,12504812
2351,12520187
2352,12603159
2353,12691831
